app,module,component,model_name,description
account,account,,account.account,Account (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
account,analytic,account,account.analytic.account,Analytic Account (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
hr,applicant,,hr.applicant,Applicant (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
appointment,type,,appointment.type,"Appointment Type (This file inherits the appointment.type model and centralize all methods linked to appointment type templates in a separate file. These templates are used to ease the onboarding and load specific configurations, hinted by their description. They appear instead of the helper on appointment.type list and kanban views when no appointment exists.)"
knowledge,article,thread,knowledge.article.thread,"Article Discussion Thread (This is the model for a comment thread linked to a `knowledge.article`. Each thread inherits the `mail.thread` mixin. These threads allow end-users to discuss specific parts of the body of a knowledge article. Which enables reviews, taking notes, pinging a colleague to get more information on a topic, ... Each initial comment starts its own thread, which will then accumulate replies, reactions, etc. It is also possible to mark a thread as closed so that it no longer appears inside the editor of the article if the conversation does not need to be continued.)"
account,asset,,account.asset,Asset/Revenue Recognition (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
hr,attendance,,hr.attendance,Attendance (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
res,partner,bank,res.partner.bank,Bank Accounts (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
account,online,link,account.online.link,Bank Connection (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
account,bank,statement,account.bank.statement,Bank Statement (Base model to inherit from to add extract functionality to a model.)
extract,mixin,,extract.mixin,Base class to extract data from documents (Base model to inherit from to add extract functionality to a model.)
mrp,bom,,mrp.bom,"Bill of Material (Mail Activity Mixin is a mixin class to use if you want to add activities management on a model. It works like the mail.thread mixin. It defines an activity_ids one2many field toward activities using res_id and res_model_id. Various related / computed fields are also added to have a global status of activities on documents. Activities come with a new JS widget for the form view. It is integrated in the Chatter widget although it is a separate widget. It displays activities linked to the current record and allow to schedule, edit and mark done activities. There is also a kanban widget defined. It defines a small widget to integrate in kanban vignettes. It allow to manage activities directly from the kanban view. Use widget """"kanban_activity"""" on activitiy_ids field in kanban view to use it. Some context keys allow to control the mixin behavior. Use those in some specific cases like import * ``mail_activity_automation_skip``: skip activities automation; it means no automated activities will be generated, updated or unlinked, allowing to save computation and avoid generating unwanted activities;)"
calendar,event,,calendar.event,Calendar Event (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
hr,candidate,,hr.candidate,Candidate (Base model to inherit from to add extract functionality to a model.)
res,company,,res.company,Companies (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
res,partner,,res.partner,Contact (Inherited to complete the attributes required to DIOT Report Added required fields according with the provisions in the next SAT document `Document <goo.gl/THPLDk>`_. To allow generate the form A-29 requested by this SAT.)
slide,channel,,slide.channel,Course (A channel is a container of slides.)
hr,department,,hr.department,Department (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
discuss,channel,,discuss.channel,"Discussion Channel (Support WhatsApp Channels, used for discussion with a specific whasapp number)"
documents,document,,documents.document,Document (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
mail,thread,cc,mail.thread.cc,Email CC management (Update MailThread to add the support of bounce management in mass mailing traces.)
mail,thread,,mail.thread,Email Thread (Update MailThread to add the support of bounce management in mass mailing traces.)
hr,employee,,hr.employee,"Employee (NB: Any field only available on the model hr.employee (i.e. not on the hr.employee.public model) should have `groups """"hr.group_hr_user""""` on its definition to avoid being prefetched when the user hasn't access to the hr.employee model. Indeed, the prefetch loads the data for all the fields that are available according to the group defined on them.)"
hr,contract,,hr.contract,Employee Contract (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
event,event,,event.event,Event (Event)
event,registration,,event.registration,Event Registration (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
event,sponsor,,event.sponsor,Event Sponsor (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
event,track,,event.track,Event Track (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
hr,expense,,hr.expense,Expense (Base model to inherit from to add extract functionality to a model.)
